Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
151	Lippe	ablesen	n		ab	6	Lippen	abgelesen	abzulesen	ablasen|ablas|abliest|ablese|ablesen	6	0	1	0	24	2	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
34	Ohr	anlegen	en		an	26	Ohren	angelegt	anzulegen	anlege|anlegst|anlegten|anlegt|anlegte|anlegen	23	0	8	0	16	1	1	6	0	1	0	0	6	0	19	3	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	4	0
205	Bild	anschauen	er		an	5	Bilder	angeschaut	anzuschauen	anschaue|anschaute|anschaust|anschauten|anschaut|anschauen	4	0	1	0	47	11	0	1	0	4	0	0	1	0	38	4	0	0	0	0	0	0	0	0	0	0	0	0	22	2	0	0	0	14	1
59	Hand	auflegen	~e		auf	16	Hände	aufgelegt	aufzulegen	auflegen|auflege|auflegt|auflegten|auflegte	13	0	6	0	20	0	0	1	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
95	Platte	auflegen	n		auf	9	Platten	aufgelegt	aufzulegen	auflegen|auflege|auflegt|auflegten|auflegte	7	0	1	0	3	0	0	2	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	1
168	Zahn	ausbeißen	~e		aus	5	Zähne	ausgebissen	auszubeißen	ausbiss|ausbeißen|ausbeisst|ausbeißt|ausbeissen|ausbissen	4	0	0	0	70	1	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
199	Haar	ausraufen	e		aus	5	Haare	ausgerauft	X	ausraufen	5	0	0	0	3	0	0	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	Zeitung	austragen	s		aus	22	Zeitungen	ausgetragen	auszutragen	austrug|austrägt|austragen|austrage|austrugen	19	1	2	0	0	0	0	6	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Sonne	baden	n			319	Sonnen	gebadet	X	baden|bade|badet|badeten|badete	383	51	43	0	0	0	0	148	8	3	0	1	134	35	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0
49	Brücke	bauen	n			19	Brücken	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet	14	0	3	0	10	0	0	5	0	2	0	0	3	0	123	1	2	0	0	71	0	0	0	0	0	0	0	0	30	0	0	36	0	9	0
81	Haus	bauen	~er			11	Häusern	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
132	Bett	bauen	en			7	Betten	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet	7	0	2	0	1	0	0	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
153	Krippe	bauen	n			6	Krippen	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet	3	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
154	Kind	bekommen	er	be		6	Kinder	bekommen	X	bekäme|bekommst|bekamen|bekomme|bekommt|bekam|bekommen|bekämen	5	1	2	0	292	16	0	2	0	3	0	0	1	0	247	20	0	0	0	136	6	0	0	0	0	0	6	1	304	23	0	0	0	80	6
90	Bett	beziehen	en	be		10	Betten	bezogen	X	bezog|beziehen|beziehe|bezöge|bezögen|bezieht|bezogen|beziehst	9	0	2	0	3	0	0	3	0	2	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0
109	Nase	bohren	n			8	Nasen	gebohrt	X	bohre|bohrst|bohrten|bohrt|bohren|bohrte	8	1	0	0	0	0	0	2	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	Loch	bohren	~er			5	Löcher	gebohrt	X	bohre|bohrst|bohrten|bohrt|bohren|bohrte	5	0	1	0	17	2	0	2	0	2	0	4	0	0	35	1	1	0	0	13	0	0	0	0	0	0	0	0	57	1	0	0	0	7	1
200	Gesicht	cremen	s			5	Gesichter	gecremet	X	creme|cremst|cremet|cremen|cremete|cremetest|cremte|cremetet|cremeten	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	4	0	0
20	Flasche	drehen	n			42	Flaschen	gedreht	X	drehte|drehten|drehen|dreht|drehst|drehe	38	6	6	0	0	0	0	5	1	0	0	0	21	5	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	Film	drehen	e			7	Filme	gedreht	X	drehte|drehten|drehen|dreht|drehst|drehe	6	0	1	0	11	0	0	4	0	1	0	0	0	0	38	4	2	0	0	33	0	0	0	0	0	0	0	0	65	1	0	0	0	34	0
147	Phrase	dreschen	n			6	Phrasen	gedroschen	X	droschen|dreschen|drosch|drischt	6	1	1	0	2	0	0	2	0	0	0	0	1	0	5	2	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
83	Bild	einstellen	er			11	Bilder	eingestellt	einzustellen	einstellten|einstellen|einstellte|einstelle|einstellt	9	0	4	0	63	7	0	4	0	7	0	0	0	0	103	5	1	0	0	0	0	0	0	0	0	0	0	0	37	3	1	0	0	6	1
173	Spiel	erfinden	e	er		5	Spiele	erfunden	X	erfindest|erfindet|erfand|erfinde|erfände|erfinden|erfänden|erfanden	4	0	1	0	1	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
115	Zwang	ernähren	s	er		7	Zwängen	ernährt	X	ernährten|ernähren|ernährte|ernährt|ernähre	6	15	2	0	0	0	0	2	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	1	41	0	0
5	Geschichte	erzählen	n	er		179	Geschichten	erzählt	X	erzählt|erzählten|erzählte|erzählst|erzählen|erzähle	119	0	28	0	110	1	0	26	0	7	0	0	28	0	240	10	1	0	0	157	1	4	0	2	0	0	0	0	132	5	0	0	0	159	5
186	Kind	erziehen	er	er		5	Kinder	erzogen	X	erzogen|erzögen|erziehe|erziehen|erzog|erzieht	2	0	1	0	27	1	1	1	0	0	0	0	0	0	60	1	0	0	0	46	2	0	0	0	0	0	0	0	21	0	0	0	0	53	0
10	Kurve	fahren	n			106	Kurven	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen	95	2	21	1	18	0	0	27	0	7	1	0	27	0	29	3	0	0	0	1	0	1	0	0	0	0	0	0	6	1	0	125	1	7	2
25	Punkt	fahren	e			36	Punkte	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen	34	0	1	0	3	0	0	21	0	0	0	0	9	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0
47	Geschicklichkeit	fahren	s			19	Geschicklichkeiten	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen	18	0	6	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
99	Gruppe	fahren	n			9	Gruppen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen	9	0	2	0	1	0	0	4	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	31	0	7	0
103	Ausscheidung	fahren	s			9	Ausscheidungen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen	9	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	Tour	fahren	en			6	touren	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
141	Straße	fahren	n			6	Straßen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen	4	0	0	0	22	0	0	3	0	0	0	0	1	0	13	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	16	0	10	0
149	Mannschaft	fahren	s			6	Mannschaften	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen	6	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	1	0	0
164	Boot	fahren	s			6	Booten	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen	6	1	0	0	0	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	799	6	0	0
79	Maus	fangen	~e			11	mäuse	gefangen	X	fängt|fangen|fange|fingen|finge|fängst|fangt|fing	1	1	0	0	0	0	0	1	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187	Kette	fangen	n			5	Ketten	gefangen	X	fängt|fangen|fange|fingen|finge|fängst|fangt|fing	5	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
23	Haar	färben	e			37	Haare	gefärbt	X	färben|färbte|färbten|färbe|färbt	28	3	7	0	43	0	1	12	1	8	1	1	4	2	40	9	3	0	0	3	1	0	0	0	0	0	0	0	8	8	0	0	0	5	2
57	Ei	färben	er			17	Eier	gefärbt	X	färben|färbte|färbten|färbe|färbt	16	0	3	0	0	0	0	7	0	0	0	0	3	0	3	0	0	0	0	2	0	2	0	0	0	0	0	0	4	1	0	0	0	0	0
52	Fliege	fischen	n			18	Fliegen	gefischt	X	fischen|fischt|fischten|fische|fischte	231	20	50	5	0	0	0	66	5	0	0	0	93	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
160	Ei	fressen	er			6	Eier	gefressen	X	fraßen|frass|fresst|fräßen|frisst|fresse|frißt|fressen|fraß	4	2	1	1	2	0	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
181	Meile	fressen	n			5	Meilen	gefressen	X	fraßen|frass|fresst|fräßen|frisst|fresse|frißt|fressen|fraß	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	Rute	gehen	n			41	Ruten	gegangen	X	gehst|gehts|gehe|gehen|gehn|ging|gingen|gehet|gings|geht|ginge	26	0	11	0	0	0	0	4	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	Wünschelrute	gehen	n			5	Wünschelruten	gegangen	X	gehst|gehts|gehe|gehen|gehn|ging|gingen|gehet|gings|geht|ginge	5	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	Glocke	gießen	n			9	Glocken	gegossen	X	goss|giesst|gieße|gießen|gossen|gössen|giesse|goß|giessen|gießt	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0
188	Kerze	gießen	n			5	Kerzen	gegossen	X	goss|giesst|gieße|gießen|gossen|gössen|giesse|goß|giessen|gießt	5	0	1	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
192	Höhle	grölen	n			5	Höhlen	gegrölt	X	grölte|grölt|grölten|grölen	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	Film	gucken	e			13	Filme	geguckt	X	gucken|gucke|guckst|guckten|guckte|guckt	10	2	1	0	8	0	0	5	0	13	0	0	3	1	55	13	1	0	0	13	2	0	1	0	0	0	0	0	9	3	0	0	0	11	1
106	Stern	gucken	e			8	Sterne	geguckt	X	gucken|gucke|guckst|guckten|guckte|guckt	8	0	0	0	4	0	0	3	0	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	Kind	haben	er			13	Kinder	gehabt	X	ham|haette|hab|habs|hatt|hät|hätt|hats	11	0	7	0	1208	20	0	0	0	0	0	0	3	0	902	46	1	0	0	84	4	0	0	0	0	0	0	0	15	1	0	0	0	9	5
15	Wade	heben	n			58	Waden	gehoben	X	hob|heben|hub|hebt|hebst|hoben|hebe|huben	48	6	0	0	0	0	0	3	0	0	0	0	32	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	Zigarette	holen	n			9	Zigaretten	geholt	X	holst|holt|holte|holten|holen|hole	8	0	1	0	1	0	0	6	0	3	0	0	0	0	31	2	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
30	Stimme	hören	n			29	Stimmen	gehört	X	hörst|hörte|höret|hört|höre|hören|hörten|hörtest	28	0	14	0	18	0	0	1	0	0	0	0	8	0	20	1	0	0	0	46	1	0	0	0	0	0	0	0	30	3	1	0	0	45	2
178	Platte	hören	n			5	Platten	gehört	X	hörst|hörte|höret|hört|höre|hören|hörten|hörtest	4	0	2	0	1	1	0	0	0	4	0	0	2	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0
75	Platte	kalken	n			12	Platten	gekalkt	X	kalken	12	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	Schuh	kaufen	e			11	Schuhe	gekauft	X	kauften|kaufen|kaufe|kaufet|kauft|kaufst|kaufte	11	0	3	0	19	1	0	4	0	10	1	0	4	0	67	9	0	0	0	11	0	0	0	0	0	0	0	0	18	1	0	0	0	5	1
116	Zicke	kicken	n			7	Zicken	gekickt	X	kickten|kicken|kickte|kicke|kickt	5	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	Plakat	kleben	e			5	Plakate	geklebt	X	klebte|klebe|klebten|klebst|kleben|klebt	5	0	0	0	4	0	0	3	0	2	0	0	2	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	16	0	0	0	0	2	0
94	Spruch	klopfen	~e			9	Sprüche	geklopft	X	klopft|klopfte|klopften|klopfen|klopfe	8	0	2	0	5	1	0	3	0	3	0	0	3	0	22	2	2	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	4	0
119	Stein	klopfen	e			7	Steine	geklopft	X	klopft|klopfte|klopften|klopfen|klopfe	6	0	0	0	1	0	0	3	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
6	Zahn	knirschen	~e			176	Zähne	geknirscht	X	knirschte|knirschen|knirscht|knirschten	158	3	25	0	1	0	1	9	0	0	0	0	90	3	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0
71	Kontakt	knüpfen	e			13	kontakte	geknüpft	X	knüpfen|knüpfe|knüpft|knüpften|knüpfte	0	0	0	0	1	1	0	0	0	0	0	0	0	0	5	5	0	0	0	6	6	0	0	0	0	0	0	0	4	4	0	0	0	0	0
145	Reihe	knutschen	n			6	Reihen	geknutscht	X	knutsche|knutschst|knutscht|knutschen|knutschte|knutschtest|knutschten	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	Ei	kochen	er			14	Eier	gekocht	X	kocht|kochte|kochten|kochen|koche	12	2	2	0	4	2	0	9	0	1	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0
65	Kind	kriegen	er			14	Kinder	gekriegt	X	kriegst|kriege|kriegen|kriegten|kriegte|kriegt	227	14	76	3	45	5	0	91	6	13	0	0	50	2	151	14	0	0	0	23	2	0	1	1	1	0	0	0	8	0	0	0	0	10	0
32	Treppe	laufen	n			27	Treppen	gelaufen	X	liefe|lief|liefen|lauft|läufts|läuft|laufe|läufst|laufen	23	4	3	0	13	2	0	8	2	4	0	0	10	2	10	2	0	0	0	3	0	1	0	0	0	0	0	0	3	1	0	0	0	1	0
