Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
574	Zelt	abbauen	0		ab	5	Zelte	abgebaut	abzubauen	abbauten|abbaue|abbaut|abbauen|abbaute	4	1	1	0	2	0	0	2	0	1	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0
274	Hand	abhacken	0		ab	14	Hände	abgehackt	abzuhacken	abhackt|abhackten|abhacken	12	1	4	1	10	1	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	Geld	abheben	0		ab	96	Gelder	abgehoben	abzuheben	abhebt|abhebe|abheben|abhob|abhoben	86	0	28	0	20	2	0	34	0	9	0	0	15	0	128	3	0	0	0	0	0	0	0	0	0	0	0	0	34	2	0	0	0	14	0
228	Dampf	ablassen	0		ab	17	Dämpfe	abgelassen	abzulassen	ablasse|abließ|abließen|abließe|abliessen|abliess|abläßt|ablassen|ablässt	14	0	1	0	19	1	0	4	0	10	1	1	0	0	107	8	0	0	0	0	0	0	0	0	0	0	0	0	31	2	0	0	0	14	2
480	Frust	ablassen	0		ab	7	Frusts	abgelassen	abzulassen	ablasse|abließ|abließen|abließe|abliessen|abliess|abläßt|ablassen|ablässt	7	0	1	0	8	0	0	3	0	3	0	0	2	0	37	6	0	0	0	0	0	0	0	0	0	0	1	0	7	1	0	0	0	6	1
554	Druck	ablassen	0		ab	6	Drucken	abgelassen	abzulassen	ablasse|abließ|abließen|abließe|abliessen|abliess|abläßt|ablassen|ablässt	6	0	1	0	7	0	0	2	0	2	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0
62	Blut	abnehmen	0		ab	82	Blute	abgenommen	abzunehmen	abnahmen|abnahm|abnimmst|abnähmen|abnehmen|abnehme|abnähme|abnimmt	73	9	9	1	10	1	0	33	4	19	1	0	26	3	74	6	0	0	0	0	0	1	0	0	0	0	6	0	232	11	0	32	1	9	1
584	Tisch	abräumen	0		ab	5	Tische	abgeräumt	abzuräumen	abräumten|abräumen|abräumte|abräumt	5	0	0	0	6	0	0	3	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
59	Fett	absaugen	0		ab	85	Fette	abgesaugt	abzusaugen	absaugen|absaugt	73	4	19	0	7	1	0	14	0	1	0	0	33	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
180	Auto	abschaffen	0		ab	22	auto	abgeschafft	abzuschaffen	abschafften|abschaffen|abschaffte|abschaffe|abschafft	14	0	6	0	3	0	0	6	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0
632	Kopf	abschlagen	0		ab	5	Köpfe	abgeschlagen	abzuschlagen	abschlagen|abschlägt|abschlug	3	0	1	0	37	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
531	Kot	absetzen	0		ab	6	Kote	abgesetzt	abzusetzen	absetzten|absetzt|absetze|absetzen|absetzte	6	0	1	0	6	0	0	4	0	5	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	15	0
572	Arsch	abwischen	0		ab	6	Ärsche	abgewischt	abzuwischen	abwischen|abwischt|abwischte	5	0	0	0	7	2	0	5	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
450	Telefon	anfragen	0		an	7	Telefone	angefragt	anzufragen	anfragte|anfrage|anfragen|anfragt|anfragten	7	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
164	Hand	anlegen	0		an	24	Hände	angelegt	anzulegen	anlege|anlegst|anlegten|anlegt|anlegte|anlegen	22	4	1	0	28	1	0	3	0	0	0	0	8	3	417	13	0	0	0	0	0	0	0	0	0	0	0	0	173	3	0	1	1	87	2
217	Geld	anlegen	0		an	18	Gelder	angelegt	anzulegen	anlege|anlegst|anlegten|anlegt|anlegte|anlegen	14	0	4	0	29	0	0	7	0	8	0	0	3	0	88	1	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1	0	21	0
350	Zeit	ansagen	0		an	10	Zeiten	angesagt	anzusagen	ansagt|ansage|ansagte|ansagen|ansagten	10	0	3	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	32	1	0	0
