Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin	q_compound_joint_cap	q_compound_joint_nocap	q_np_det_joint_cap	q_np_det_joint_nocap	q_np_det_sep_cap	q_np_det_sep_nocap	q_np_det_sep_capcap	q_np_apprart_joint_cap	q_np_apprart_joint_nocap	q_np_apprart_sep_cap	q_np_apprart_sep_nocap	q_np_apprart_sep_capcap	q_np_nodet_joint_cap	q_np_nodet_joint_nocap	q_np_nodet_sep_cap	q_np_nodet_sep_nocap	q_np_nodet_sep_capcap	q_infzu_joint_cap	q_infzu_joint_nocap	q_infzu_sep_cap	q_infzu_sep_nocap	q_prog_joint_cap	q_prog_joint_nocap	q_prog_sep_cap	q_prog_sep_nocap	q_prog_sep_capcap	q_particip_joint_cap	q_particip_joint_nocap	q_particip_sep_cap	q_particip_sep_nocap	q_particip_sep_capcap	q_finite_joint_cap	q_finite_joint_nocap	q_finite_sep_cap	q_finite_sep_nocap
574	Zelt	abbauen	0		ab	5	Zelte	abgebaut	abzubauen	abbauten|abbaue|abbaut|abbauen|abbaute	20	1	4	0	38	0	1	5	0	2	2	0	9	1	112	5	0	0	0	0	0	0	0	0	0	0	0	0	31	1	0	2	0	5	0
274	Hand	abhacken	0		ab	14	Hände	abgehackt	abzuhacken	abhackt|abhackten|abhacken	116	7	39	1	138	10	1	2	0	3	0	0	107	3	78	7	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	1	0
53	Geld	abheben	0		ab	96	Gelder	abgehoben	abzuheben	abhebt|abhebe|abheben|abhob|abhoben	686	10	205	4	189	12	0	300	3	64	3	1	134	9	2334	56	6	0	0	0	0	1	0	0	0	0	1	0	340	8	0	1	0	148	6
228	Dampf	ablassen	0		ab	17	Dämpfe	abgelassen	abzulassen	ablasse|abließ|abließen|abließe|abliessen|abliess|abläßt|ablassen|ablässt	146	3	15	0	180	11	0	55	1	53	5	2	51	2	1804	176	3	1	0	0	0	0	0	2	0	0	0	0	302	28	0	0	0	85	9
480	Frust	ablassen	0		ab	7	Frusts	abgelassen	abzulassen	ablasse|abließ|abließen|abließe|abliessen|abliess|abläßt|ablassen|ablässt	28	4	2	0	41	8	0	17	0	21	3	1	14	2	603	90	0	0	0	0	0	0	0	0	0	0	0	0	68	11	0	0	0	33	3
554	Druck	ablassen	0		ab	6	Drucken	abgelassen	abzulassen	ablasse|abließ|abließen|abließe|abliessen|abliess|abläßt|ablassen|ablässt	29	1	4	0	37	2	0	17	0	14	0	1	5	1	172	20	0	0	1	0	0	0	0	0	0	0	0	0	28	7	0	0	0	15	3
62	Blut	abnehmen	0		ab	82	Blute	abgenommen	abzunehmen	abnahmen|abnahm|abnimmst|abnähmen|abnehmen|abnehme|abnähme|abnimmt	770	105	107	4	124	15	0	358	53	159	7	0	325	61	1492	137	3	0	4	0	0	0	0	0	0	0	41	15	2195	132	0	435	18	95	10
584	Tisch	abräumen	0		ab	5	Tische	abgeräumt	abzuräumen	abräumten|abräumen|abräumte|abräumt	39	1	3	0	65	1	0	14	1	18	1	0	15	0	38	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0
59	Fett	absaugen	0		ab	85	Fette	abgesaugt	abzusaugen	absaugen|absaugt	854	70	252	1	84	1	0	122	2	12	2	0	627	65	366	36	2	0	0	0	0	1	0	0	0	0	0	1	56	5	0	0	1	3	0
180	Auto	abschaffen	0		ab	22	auto	abgeschafft	abzuschaffen	abschafften|abschaffen|abschaffte|abschaffe|abschafft	12	0	4	0	16	2	0	7	0	1	0	0	1	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	27	2	0	0	0	3	0
