# Frequency list

# Corpus: decow16a-nano
# Query:  "[A-ZÄÖÜ][a-zäöüß]+_\+=?[a-z]+_[a-zäöüß]+en" 20020

# Frequency limit: 0


Full nominal compound analysis	Frequency	
-------------------------------------------------------
Volk_+s_begehren	1153	
Karte_+n_legen	595	
Niere_+n_versagen	443	
Hand_+=e_waschen	335	
Sonne_+n_baden	319	
Mensch_+en_gedenken	278	
König_+s_hausen	243	
Geschäft_+s_gebaren	240	
Schublade_+n_denken	221	
Film_+e_machen	220	
Ente_+n_hausen	220	
Kunde_+n_anfragen	196	
Nase_+n_nebenhöhlen	195	
Frühling_+s_erwachen	191	
Geschichte_+n_erzählen	179	
Zahn_+=e_knirschen	176	
Anspruch_+s_denken	170	
König_+s_schießen	160	
Auskunft_+s_ersuchen	151	
Tor_+e_schießen	140	
Pistole_+n_schießen	134	
Herr_+en_hausen	124	
Haar_+e_waschen	121	
Bett_+en_hausen	119	
Kurve_+n_fahren	106	
Seite_+n_aufrufen	100	
Schuld_+en_machen	99	
Gerechtigkeit_+s_empfinden	98	
Falle_+n_lassen	97	
Sicherheit_+s_denken	85	
Vorabentscheidung_+s_ersuchen	80	
Volk_+s_empfinden	80	
Übung_+s_schießen	75	
Glocke_+n_läuten	75	
Base_+n_fasten	75	
Klasse_+n_musizieren	74	
Sicherheit_+s_empfinden	72	
Bischof_+s_weihen	72	
Kalorie_+n_zählen	71	
Dose_+n_werfen	71	
Bewerbung_+s_anschreiben	68	
Liebe_+s_werben	59	
Wade_+n_heben	58	
Untersuchung_+s_gefangen	57	
Scheibe_+n_schießen	57	
Zigarette_+n_rauchen	56	
Haltestelle_+n_ansagen	55	
Butte_+n_hausen	54	
Tag_+e_bauen	53	
Freundschaft_+s_anfragen	53	
Verein_+s_bestehen	52	
Unterlassung_+s_begehren	52	
Geschmack_+s_empfinden	52	
Staat_+s_versagen	51	
Spinne_+n_weben	51	
Farbe_+n_sehen	51	
Glück_+s_empfinden	47	
Haar_+e_raufen	46	
Skat_+e_boarden	45	
Graf_+en_hausen	44	
Ritter_+s_hausen	43	
Auskunft_+s_begehren	43	
Organisation_+s_verschulden	42	
Flasche_+n_drehen	42	
Beruf_+s_erfahren	42	
Weide_+n_hausen	41	
Rute_+n_gehen	41	
Falke_+n_hausen	38	
Auge_+n_zucken	38	
Haar_+e_färben	37	
Bild_+er_machen	37	
Punkt_+e_fahren	36	
Auslieferung_+s_ersuchen	36	
Auge_+n_brennen	36	
Alp_+en_glühen	36	
Senior_+en_wohnen	35	
Name_+n_haften	35	
Leistung_+s_denken	35	
Held_+en_gedenken	35	
Masse_+n_aussterben	34	
Fliese_+n_legen	34	
Sander_+s_hausen	33	
Fahne_+n_schwenken	33	
Auge_+n_jucken	32	
Tunte_+n_hausen	31	
Schönheit_+s_empfinden	31	
Rat_+s_begehren	31	
Pfaffe_+n_hausen	31	
Stein_+e_werfen	30	
Höhle_+n_tauchen	30	
Augenblick_+s_versagen	30	
Tour_+en_gehen	29	
Stimme_+n_hören	29	
Nase_+n_schweben	29	
Lunge_+n_versagen	29	
Bett_+en_machen	29	
Ameise_+n_laufen	29	
Heil_+s_wirken	28	
Gründung_+s_willigen	28	
Treppe_+n_laufen	27	
Maus_+=e_melken	27	
Ohr_+en_anlegen	26	
König_+s_leiten	26	
Geschäft_+e_machen	26	
Friese_+n_hausen	25	
Durchführung_+s_übereinkommen	25	
Weihnacht_+s_reiten	24	
Vergleich_+s_schießen	24	
Strecke_+n_tauchen	24	
Spende_+n_aufrufen	24	
Herz_+en_hören	24	
