Index	Noun	Verb	Linking	Prefix	Particle	Freq
151	Lippe	ablesen	n		ab	6
34	Ohr	anlegen	en		an	26
205	Bild	anschauen	er		an	5
59	Hand	auflegen	~e		auf	16
95	Platte	auflegen	n		auf	9
168	Zahn	ausbeißen	~e		aus	5
199	Haar	ausraufen	e		aus	5
40	Zeitung	austragen	s		aus	22
3	Sonne	baden	n			319
49	Brücke	bauen	n			19
81	Haus	bauen	~er			11
132	Bett	bauen	en			7
153	Krippe	bauen	n			6
154	Kind	bekommen	er	be		6
90	Bett	beziehen	en	be		10
109	Nase	bohren	n			8
184	Loch	bohren	~er			5
200	Gesicht	cremen	s			5
20	Flasche	drehen	n			42
130	Film	drehen	e			7
147	Phrase	dreschen	n			6
83	Bild	einstellen	er			11
173	Spiel	erfinden	e	er		5
115	Zwang	ernähren	s	er		7
5	Geschichte	erzählen	n	er		179
186	Kind	erziehen	er	er		5
10	Kurve	fahren	n			106
25	Punkt	fahren	e			36
47	Geschicklichkeit	fahren	s			19
99	Gruppe	fahren	n			9
103	Ausscheidung	fahren	s			9
140	Tour	fahren	en			6
141	Straße	fahren	n			6
149	Mannschaft	fahren	s			6
164	Boot	fahren	s			6
79	Maus	fangen	~e			11
187	Kette	fangen	n			5
23	Haar	färben	e			37
57	Ei	färben	er			17
52	Fliege	fischen	n			18
160	Ei	fressen	er			6
181	Meile	fressen	n			5
21	Rute	gehen	n			41
169	Wünschelrute	gehen	n			5
100	Glocke	gießen	n			9
188	Kerze	gießen	n			5
192	Höhle	grölen	n			5
73	Film	gucken	e			13
106	Stern	gucken	e			8
72	Kind	haben	er			13
15	Wade	heben	n			58
93	Zigarette	holen	n			9
30	Stimme	hören	n			29
178	Platte	hören	n			5
75	Platte	kalken	n			12
78	Schuh	kaufen	e			11
116	Zicke	kicken	n			7
179	Plakat	kleben	e			5
94	Spruch	klopfen	~e			9
119	Stein	klopfen	e			7
6	Zahn	knirschen	~e			176
71	Kontakt	knüpfen	e			13
145	Reihe	knutschen	n			6
66	Ei	kochen	er			14
65	Kind	kriegen	er			14
32	Treppe	laufen	n			27
68	Stelze	laufen	n			13
158	Form	laufen	en			6
191	Hürde	laufen	n			5
12	Glocke	läuten	n			75
84	Wunde	lecken	n			10
1	Karte	legen	n			595
26	Fliese	legen	n			34
102	Bombe	legen	n			9
146	Platte	legen	n			6
148	Mine	legen	n			6
172	Spur	legen	en			5
113	Gedanke	lesen	n			8
135	Zeitung	lesen	s			6
143	Spur	lesen	en			6
180	Note	lesen	n			5
207	Aufgabe	lösen	n			5
4	Film	machen	e			220
11	Schuld	machen	en			99
24	Bild	machen	er			37
31	Bett	machen	en			29
35	Geschäft	machen	e			26
61	Buch	machen	~er			16
88	Kind	machen	er			10
97	Lied	machen	er			9
138	Uhr	machen	en			6
194	Hausaufgabe	machen	n			5
202	Gedanke	machen	n			5
