Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin
151	Lippe	ablesen	n		ab	6	Lippen	abgelesen	abzulesen	ablasen|ablas|abliest|ablese|ablesen
34	Ohr	anlegen	en		an	26	Ohren	angelegt	anzulegen	anlege|anlegst|anlegten|anlegt|anlegte|anlegen
205	Bild	anschauen	er		an	5	Bilder	angeschaut	anzuschauen	anschaue|anschaute|anschaust|anschauten|anschaut|anschauen
59	Hand	auflegen	~e		auf	16	Hände	aufgelegt	aufzulegen	auflegen|auflege|auflegt|auflegten|auflegte
95	Platte	auflegen	n		auf	9	Platten	aufgelegt	aufzulegen	auflegen|auflege|auflegt|auflegten|auflegte
168	Zahn	ausbeißen	~e		aus	5	Zähne	ausgebissen	auszubeißen	ausbiss|ausbeißen|ausbeisst|ausbeißt|ausbeissen|ausbissen
199	Haar	ausraufen	e		aus	5	Haare	ausgerauft	X	ausraufen
40	Zeitung	austragen	s		aus	22	Zeitungen	ausgetragen	auszutragen	austrug|austrägt|austragen|austrage|austrugen
3	Sonne	baden	n			319	Sonnen	gebadet	X	baden|bade|badet|badeten|badete
49	Brücke	bauen	n			19	Brücken	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet
81	Haus	bauen	~er			11	Häuser	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet
132	Bett	bauen	en			7	Betten	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet
153	Krippe	bauen	n			6	Krippen	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet
154	Kind	bekommen	er	be		6	Kinder	bekommen	X	bekäme|bekommst|bekamen|bekomme|bekommt|bekam|bekommen|bekämen
90	Bett	beziehen	en	be		10	Betten	bezogen	X	bezog|beziehen|beziehe|bezöge|bezögen|bezieht|bezogen|beziehst
109	Nase	bohren	n			8	Nasen	gebohrt	X	bohre|bohrst|bohrten|bohrt|bohren|bohrte
184	Loch	bohren	~er			5	Löcher	gebohrt	X	bohre|bohrst|bohrten|bohrt|bohren|bohrte
200	Gesicht	cremen	s			5	Gesichter	gecremet	X	creme|cremst|cremet|cremen|cremete|cremetest|cremte|cremetet|cremeten
20	Flasche	drehen	n			42	Flaschen	gedreht	X	drehte|drehten|drehen|dreht|drehst|drehe
130	Film	drehen	e			7	Filme	gedreht	X	drehte|drehten|drehen|dreht|drehst|drehe
147	Phrase	dreschen	n			6	Phrasen	gedroschen	X	droschen|dreschen|drosch|drischt
83	Bild	einstellen	er			11	Bilder	eingestellt	einzustellen	einstellten|einstellen|einstellte|einstelle|einstellt
173	Spiel	erfinden	e	er		5	Spiele	erfunden	X	erfindest|erfindet|erfand|erfinde|erfände|erfinden|erfänden|erfanden
115	Zwang	ernähren	s	er		7	Zwänge	ernährt	X	ernährten|ernähren|ernährte|ernährt|ernähre
5	Geschichte	erzählen	n	er		179	Geschichten	erzählt	X	erzählt|erzählten|erzählte|erzählst|erzählen|erzähle
186	Kind	erziehen	er	er		5	Kinder	erzogen	X	erzogen|erzögen|erziehe|erziehen|erzog|erzieht
10	Kurve	fahren	n			106	Kurven	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
25	Punkt	fahren	e			36	Punkte	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
47	Geschicklichkeit	fahren	s			19	Geschicklichkeiten	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
99	Gruppe	fahren	n			9	Gruppen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
103	Ausscheidung	fahren	s			9	Ausscheidungen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
140	Tour	fahren	en			6	Touren	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
141	Straße	fahren	n			6	Straßen	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
149	Mannschaft	fahren	s			6	Mannschaften	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
164	Boot	fahren	s			6	Booten	gefahren	X	fuhr|fahre|fährt|fahrt|führe|fuhren|fährst|fahren|führen
79	Maus	fangen	~e			11	Mäuse	gefangen	X	fängt|fangen|fange|fingen|finge|fängst|fangt|fing
187	Kette	fangen	n			5	Ketten	gefangen	X	fängt|fangen|fange|fingen|finge|fängst|fangt|fing
23	Haar	färben	e			37	Haare	gefärbt	X	färben|färbte|färbten|färbe|färbt
57	Ei	färben	er			17	Eier	gefärbt	X	färben|färbte|färbten|färbe|färbt
52	Fliege	fischen	n			18	Fliegen	gefischt	X	fischen|fischt|fischten|fische|fischte
160	Ei	fressen	er			6	Eier	gefressen	X	fraßen|frass|fresst|fräßen|frisst|fresse|frißt|fressen|fraß
181	Meile	fressen	n			5	Meilen	gefressen	X	fraßen|frass|fresst|fräßen|frisst|fresse|frißt|fressen|fraß
