# Frequency list

# Corpus: decow16a-nano
# Query:  "[A-ZÄÖÜ][a-zäöüß]+_[a-zäöüß]+en" 68050

# Frequency limit: 0


Full nominal compound analysis	Frequency	
-------------------------------------------------------
Rad_fahren	3433	
Auto_fahren	2338	
Ski_fahren	1775	
Bürger_begehren	1225	
Los_lassen	1072	
Elfmeter_schießen	926	
Wunsch_denken	911	
Teil_nehmen	848	
Bogen_schießen	812	
Fahrrad_fahren	798	
Kaffee_trinken	767	
Kopf_zerbrechen	677	
Motorrad_fahren	553	
Herz_klopfen	544	
Lohn_nebenkosten	516	
Kreuz_heben	481	
Wind_surfen	477	
Geld_verdienen	459	
Zeit_fahren	444	
Passiv_rauchen	444	
Blut_vergießen	435	
Weg_lassen	423	
Abt_asten	406	
Musik_hören	398	
Stock_hausen	394	
Wasser_lassen	380	
Preis_ausschreiben	333	
Gas_geben	327	
Zucker_schlecken	324	
Stachel_hausen	324	
Western_reiten	315	
Herz_versagen	311	
Heimat_vertrieben	299	
Leib_eigen	292	
Strom_schnellen	289	
Daheim_geblieben	288	
Pony_reiten	274	
Wald_hausen	267	
Eis_laufen	264	
Abschied_nehmen	259	
Weg_gehen	256	
Ski_springen	253	
Fest_zuhalten	253	
Kopf_nicken	251	
Kanu_fahren	245	
Fest_legen	241	
Fallschirm_springen	237	
Schutz_befohlen	236	
Weg_nehmen	227	
Schulter_zucken	223	
Schmerz_empfinden	221	
Gewicht_heben	219	
Stein_hausen	218	
Konkurrenz_denken	216	
Problem_lösen	214	
Hand_auflegen	210	
Rasen_mähen	200	
Weg_werfen	195	
Weg_laufen	193	
Musik_machen	187	
Maut_hausen	185	
Gold_waschen	180	
Achsel_zucken	171	
Probe_hören	163	
Los_fahren	162	
Bus_fahren	160	
Vogel_schießen	157	
Bahn_fahren	157	
Statt_finden	156	
Andro_gen	154	
Luft_holen	151	
Futter_raufen	151	
Preis_schießen	146	
Abt_ragen	145	
Fest_zustellen	141	
Wein_achten	140	
Penalty_schießen	139	
Seil_springen	138	
Dauer_grinsen	134	
Probe_fahren	133	
Boot_fahren	133	
Schulter_klopfen	131	
Dressur_reiten	131	
Klage_begehren	130	
Kopf_rechnen	129	
Herr_hausen	129	
Tee_trinken	127	
Markt_versagen	124	
Koma_saufen	124	
Donner_grollen	123	
Bier_trinken	121	
Ballon_fahren	116	
Wäsche_waschen	114	
Zug_fahren	113	
Schlitten_fahren	111	
Support_anfragen	110	
Geld_ausgeben	110	
Leber_versagen	106	
Organ_versagen	105	
Haupt_verdächtigen	102	
Deich_hausen	102	
Miss_verstehen	100	
Wall_hausen	99	
Ziegel_hausen	98	
Sport_schießen	96	
Geld_abheben	96	
Pokal_schießen	92	
Blog_gerinnen	92	
Natur_erleben	91	
Muskel_versagen	91	
Internet_surfen	91	
Taxi_fahren	90	
Kind_erwägen	90	
Wasser_treten	86	
Ei_erlegen	86	
Datenbank_abfragen	86	
Fett_absaugen	85	
Atem_holen	85	
Rocken_hausen	83	
Enduro_fahren	83	
Blut_abnehmen	82	
Telefon_anrufen	80	
Schlange_stehen	79	
Beben_hausen	79	
Weg_fahren	77	
Schi_fahren	77	
Trampolin_springen	75	
Zeit_empfinden	74	
Kraut_hausen	74	
Terror_verdächtigen	73	
Partei_vorbringen	73	
Hecht_hausen	73	
Teil_haben	72	
Kajak_fahren	72	
Fest_halten	72	
Radio_hören	71	
Kaffee_kochen	69	
Blei_gießen	69	
Feuer_machen	68	
Gas_wegnehmen	66	
Auto_waschen	66	
Moped_fahren	65	
Wind_hausen	64	
Wasser_trinken	64	
Stil_springen	64	
Kreislauf_versagen	64	
Raub_kopieren	63	
Ei_geboren	63	
Lohn_untergrenzen	62	
Essen_gehen	62	
Wärme_empfinden	61	
Mut_machen	61	
Haupt_schuldigen	61	
Para_gleiten	60	
Distanz_reiten	59	
Bon_landen	59	
Bau_nebenkosten	59	
Roller_fahren	58	
Hilfe_ersuchen	58	
Velo_fahren	57	
Lautsprecher_durchsagen	57	
Hindernis_fahren	57	
Bark_hausen	57	
Finger_schnippen	56	
Sport_tauchen	55	
Sauna_baden	55	
Presse_anfragen	55	
Berger_hausen	55	
Finanz_gebaren	54	
Einwurf_einschreiben	54	
Streit_wägen	53	
Topf_schlagen	52	
Lust_empfinden	52	
Feuer_verzinken	52	
Stil_empfinden	51	
Kreis_verkehren	51	
Akt_zeichnen	51	
Text_verstehen	50	
Rum_stehen	50	
Holz_raufen	50	
West_hausen	49	
Pulver_beschichten	49	
Lager_denken	49	
Kat_holen	49	
Gau_schießen	49	
Ei_singen	49	
Weg_schmeißen	48	
Tabak_rauchen	48	
Los_lösen	48	
Fußball_gucken	48	
Einrad_fahren	48	
Wasser_holen	47	
Probe_wohnen	47	
Muskel_zucken	47	
Los_gehen	47	
Heim_gegangen	47	
Fron_hausen	47	
Feder_lesen	47	
Brettchen_weben	46	
Wasser_springen	45	
Kamel_reiten	45	
Dreikönigs_singen	45	
Therapie_versagen	44	
Rum_probieren	44	
Kaugummi_kauen	44	
Gespann_fahren	44	
Flugzeug_abstürzen	44	
Sommer_hausen	43	
Schaf_hausen	43	
Neckar_hausen	43	
Mark_hausen	43	
Snowboard_fahren	42	
Preis_anfragen	42	
Beschwerde_vorbringen	42	
Maß_nehmen	41	
Laser_schweißen	41	
Haupt_betroffen	41	
Rausch_trinken	40	
Radio_machen	40	
West_erhausen	39	
Weg_ziehen	39	
Haft_entlassen	39	
Fisch_hausen	39	
Bruch_rechnen	39	
Wein_trinken	38	
Roggen_hausen	38	
Recht_haben	38	
Profit_denken	38	
Gelände_reiten	38	
Flügel_schlagen	38	
Feld_hausen	37	
Winter_hausen	36	
Kunst_radfahren	36	
Kauf_nebenkosten	36	
Eis_schießen	36	
Camp_hausen	36	
Berg_steigen	36	
Vers_tappen	35	
Seil_ziehen	35	
Heu_raufen	35	
Elite_denken	35	
Ei_erlaufen	35	
Drachen_zähmen	35	
Bein_heben	35	
Ziel_werfen	34	
Wirbel_gleiten	34	
Weg_drehen	34	
Spiel_absagen	34	
Probe_reiten	34	
Konsum_denken	34	
Brötchen_holen	34	
Ball_werfen	34	
Weg_schieben	33	
Hufeisen_werfen	33	
Buggy_fahren	33	
Boden_hausen	33	
Wein_hausen	32	
Wahl_ausschreiben	32	
System_denken	32	
Rahmen_bedingen	32	
Miss_achten	32	
Last_wägen	32	
Kartoffel_schälen	32	
Insel_hüpfen	32	
Hund_hausen	32	
Besitz_denken	32	
Tür_öffnen	31	
System_abstürzen	31	
Saal_hausen	31	
Probe_schießen	31	
Magen_knurren	31	
Heim_fahren	31	
Geist_heilen	31	
Frosch_hausen	31	
Cabrio_fahren	31	
Almosen_geben	31	
Pfad_finden	30	
Meter_schießen	30	
Kegel_fahren	30	
Dauer_zocken	30	
Bürger_anfragen	30	
