Index	Noun	Verb	Linking	Prefix	Particle	Freq
574	Zelt	abbauen	0		ab	5
274	Hand	abhacken	0		ab	14
53	Geld	abheben	0		ab	96
228	Dampf	ablassen	0		ab	17
480	Frust	ablassen	0		ab	7
554	Druck	ablassen	0		ab	6
62	Blut	abnehmen	0		ab	82
584	Tisch	abräumen	0		ab	5
59	Fett	absaugen	0		ab	85
180	Auto	abschaffen	0		ab	22
632	Kopf	abschlagen	0		ab	5
531	Kot	absetzen	0		ab	6
572	Arsch	abwischen	0		ab	6
450	Telefon	anfragen	0		an	7
164	Hand	anlegen	0		an	24
217	Geld	anlegen	0		an	18
350	Zeit	ansagen	0		an	10
477	Gefährder	anschreiben	0		an	7
511	Schuss	antäuschen	0		an	6
312	Probe	anziehen	0		an	12
501	Wasser	atmen	0			6
518	Plasma	ätzen	0			6
304	Zelt	aufbauen	0		auf	12
578	Wasser	auffüllen	0		auf	5
220	Wäsche	aufhängen	0		auf	17
474	Hand	aufheben	0		auf	7
27	Hand	auflegen	0		auf	210
631	Kopf	auflegen	0		auf	5
302	Zimmer	aufräumen	0		auf	12
290	Milch	aufschäumen	0		auf	13
51	Geld	ausgeben	0		aus	110
593	Stall	ausmisten	0		aus	5
633	Koffer	auspacken	0		aus	5
529	Licht	ausschalten	0		aus	6
575	Zeitung	austragen	0		aus	5
351	Winter	austreiben	0		aus	10
352	Trikot	ausziehen	0		aus	10
378	Brot	backen	0			10
86	Sauna	baden	0			55
240	Eis	baden	0			16
388	Sand	baden	0			9
497	Winter	baden	0			6
507	Staub	baden	0			6
612	Probe	baden	0			5
561	Body	bangen	0			6
193	Haus	bauen	0			20
417	Nest	bauen	0			8
523	Modell	bauen	0			6
636	Häusle	bauen	0			5
198	Asyl	begehren	0	be		20
310	Schadenersatz	begehren	0	be		12
565	Beweis	begehren	0	be		6
660	Dauer	bellen	0			5
653	Gehäuse	berechnen	0	be		5
91	Pulver	beschichten	0	be		49
467	Laser	beschriften	0	be		7
229	Band	bestehen	0	be		17
646	Hand	biken	0			5
490	Buch	binden	0			7
475	Glas	blasen	0			7
478	Gast	bloggen	0			7
236	Sand	boarden	0			16
481	Finger	boarden	0			7
491	Body	boarden	0			7
202	Nase	bohren	0			19
403	Brunnen	bohren	0			9
566	Beton	bohren	0			6
604	Schlag	bohren	0			5
514	Schatten	boxen	0			6
141	Bier	brauen	0			30
241	Brot	brechen	0			16
177	Kalk	brennen	0			22
192	Helium	brennen	0			20
295	Fohlen	brennen	0			13
309	Schnaps	brennen	0			12
471	Kohlenstoff	brennen	0			7
665	Branntwein	brennen	0			5
232	Wild	campen	0			16
174	Schlamm	catchen	0			22
524	Model	checken	0			6
267	Musik	denken	0			14
