Index	Noun	Verb	Linking	Prefix	Particle	Freq	Nounpl	Verbpp	Verbzu	Verbfin
574	Zelt	abbauen	0		ab	5	Zelte	abgebaut	abzubauen	abbauten|abbaue|abbaut|abbauen|abbaute
274	Hand	abhacken	0		ab	14	Hände	abgehackt	abzuhacken	abhackt|abhackten|abhacken
53	Geld	abheben	0		ab	96	Gelder	abgehoben	abzuheben	abhebt|abhebe|abheben|abhob|abhoben
228	Dampf	ablassen	0		ab	17	Dämpfe	abgelassen	abzulassen	ablasse|abließ|abließen|abließe|abliessen|abliess|abläßt|ablassen|ablässt
480	Frust	ablassen	0		ab	7	Frusts	abgelassen	abzulassen	ablasse|abließ|abließen|abließe|abliessen|abliess|abläßt|ablassen|ablässt
554	Druck	ablassen	0		ab	6	Drucken	abgelassen	abzulassen	ablasse|abließ|abließen|abließe|abliessen|abliess|abläßt|ablassen|ablässt
62	Blut	abnehmen	0		ab	82	Blute	abgenommen	abzunehmen	abnahmen|abnahm|abnimmst|abnähmen|abnehmen|abnehme|abnähme|abnimmt
584	Tisch	abräumen	0		ab	5	Tische	abgeräumt	abzuräumen	abräumten|abräumen|abräumte|abräumt
59	Fett	absaugen	0		ab	85	Fette	abgesaugt	abzusaugen	absaugen|absaugt
180	Auto	abschaffen	0		ab	22	auto	abgeschafft	abzuschaffen	abschafften|abschaffen|abschaffte|abschaffe|abschafft
632	Kopf	abschlagen	0		ab	5	Köpfe	abgeschlagen	abzuschlagen	abschlagen|abschlägt|abschlug
531	Kot	absetzen	0		ab	6	Kote	abgesetzt	abzusetzen	absetzten|absetzt|absetze|absetzen|absetzte
572	Arsch	abwischen	0		ab	6	Ärsche	abgewischt	abzuwischen	abwischen|abwischt|abwischte
450	Telefon	anfragen	0		an	7	Telefone	angefragt	anzufragen	anfragte|anfrage|anfragen|anfragt|anfragten
164	Hand	anlegen	0		an	24	Hände	angelegt	anzulegen	anlege|anlegst|anlegten|anlegt|anlegte|anlegen
217	Geld	anlegen	0		an	18	Gelder	angelegt	anzulegen	anlege|anlegst|anlegten|anlegt|anlegte|anlegen
350	Zeit	ansagen	0		an	10	Zeiten	angesagt	anzusagen	ansagt|ansage|ansagte|ansagen|ansagten
477	Gefährder	anschreiben	0		an	7	Gefährder	angeschrieben	anzuschreiben	anschreibt|anschreiben|anschrieb
511	Schuss	antäuschen	0		an	6	Schuss	angetäuscht	X	antäuscht|antäuschen
312	Probe	anziehen	0		an	12	Proben	angezogen	anzuziehen	anziehen|anzog|anzieht|anzogen|anziehst|anziehe
501	Wasser	atmen	0			6	Wassern	geatmet	X	atmet|atmete|atmeten|atme|atmen|atmest
518	Plasma	ätzen	0			6	Plasma	geätzt	X	ätzt|ätzen|ätzten|ätzte|ätze
304	Zelt	aufbauen	0		auf	12	Zelten	aufgebaut	aufzubauen	aufbauen|aufbaut|aufbauten|aufbaust|aufbaute|aufbaue
578	Wasser	auffüllen	0		auf	5	Wassern	aufgefüllt	aufzufüllen	auffüllen|auffüllte|auffüllten|auffüllt|auffülle
220	Wäsche	aufhängen	0		auf	17	Wäschen	aufgehängt	aufzuhängen	aufhing|aufhängen|aufhängt|aufhängst
474	Hand	aufheben	0		auf	7	Hände	aufgehoben	aufzuheben	aufhebe|aufhoben|aufheben|aufhob|aufhöben|aufhebt
27	Hand	auflegen	0		auf	210	Hände	aufgelegt	aufzulegen	auflegen|auflege|auflegt|auflegten|auflegte
631	Kopf	auflegen	0		auf	5	Köpfe	aufgelegt	aufzulegen	auflegen|auflege|auflegt|auflegten|auflegte
302	Zimmer	aufräumen	0		auf	12	Zimmer	aufgeräumt	aufzuräumen	aufräumten|aufräumen|aufräumt|aufräumte
290	Milch	aufschäumen	0		auf	13	Milch	aufgeschäumt	aufzuschäumen	aufschäumen|aufschäumt
51	Geld	ausgeben	0		aus	110	Gelder	ausgegeben	auszugeben	ausgibt|ausgaben|ausgibst|ausgebt|ausgab|ausgäbe|ausgebe|ausgeben
593	Stall	ausmisten	0		aus	5	Ställen	ausgemistet	auszumisten	ausmistet|ausmisten
633	Koffer	auspacken	0		aus	5	Koffer	ausgepackt	auszupacken	auspackt|auspackte|auspacken|auspackten
529	Licht	ausschalten	0		aus	6	Lichter	ausgeschaltet	auszuschalten	ausschalten|ausschaltete|ausschaltet|ausschalteten
575	Zeitung	austragen	0		aus	5	Zeitungen	ausgetragen	auszutragen	austrug|austrägt|austragen|austrage|austrugen
351	Winter	austreiben	0		aus	10	Winter	ausgetrieben	auszutreiben	austrieb|austrieben|austreiben|austreibt
352	Trikot	ausziehen	0		aus	10	Trikots	ausgezogen	auszuziehen	auszog|auszogen|ausziehen|ausziehe|auszieht
378	Brot	backen	0			10	Broten	gebacken	X	buk|backt|buken|backte|backten|backen|bäckt|backe
86	Sauna	baden	0			55	Saunen	gebadet	X	baden|bade|badet|badeten|badete
240	Eis	baden	0			16	Eis	gebadet	X	baden|bade|badet|badeten|badete
388	Sand	baden	0			9	Sande	gebadet	X	baden|bade|badet|badeten|badete
497	Winter	baden	0			6	Winter	gebadet	X	baden|bade|badet|badeten|badete
507	Staub	baden	0			6	Stäuben	gebadet	X	baden|bade|badet|badeten|badete
612	Probe	baden	0			5	Proben	gebadet	X	baden|bade|badet|badeten|badete
561	Body	bangen	0			6	Bodys	gebangt	X	bangte|bange|bangt|bangten|bangen
193	Haus	bauen	0			20	Häusern	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet
417	Nest	bauen	0			8	Nestern	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet
523	Modell	bauen	0			6	Modellen	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet
636	Häusle	bauen	0			5	Häusle	gebaut	X	baue|bauten|bauen|baust|baut|baute|bauet
653	Gehäuse	berechnen	0	be		5	Gehäusen	berechnet	X	berechneten|berechnen|berechnete|berechne|berechnet
91	Pulver	beschichten	0	be		49	Pulver	beschichtet	X	beschichtete|beschichtet|beschichteten|beschichten
467	Laser	beschriften	0	be		7	Lasern	beschriftet	X	beschriftet|beschriften|beschrifteten|beschriftete
229	Band	bestehen	0	be		17	Bände	bestanden	X	bestanden|bestehst|bestünde|besteht|bestand|bestünden|bestehe|bestehen
646	Hand	biken	0			5	Hände	gebiket	X	bike|bikest|biket|bikete|biketest|biketet|biketen
490	Buch	binden	0			7	Büchern	gebunden	X	banden|binde|binden|band|bänden|bindet|bände
475	Glas	blasen	0			7	Gläsern	geblasen	X	blasen|blase|bläst|blies|blast|bliesen
478	Gast	bloggen	0			7	Gästen	gebloggt	X	bloggt|bloggte|blogge|bloggen|bloggten|bloggst
