

=======================================================================


PREFERENCE FOR UNIVERBATION  IN:  NP with D 

        Noun Linking      Verb np.det.assocs FLogPerMillion
485      Rad       0    fahren    0.19114612     1.83784511
222   Zucker       0 schlecken    0.17573221    -0.76821007
487      Ski       0    fahren    0.13506498     0.95260638
265  Fußball       0   spielen    0.10222683     0.96116861
134   Rätsel       0     raten    0.10213443    -1.03837784
384     Blut       0 vergießen    0.10210846    -0.45942630
486     Auto       0    fahren    0.09745143     1.67127733
178    Bogen       0  schießen    0.09101611     0.01190985
115     Teil       0    nehmen    0.08311878     3.56181134
490     Zeit       0    fahren    0.08206570    -0.57083218
652     Zahn      ~e    putzen    0.08188958     0.28815835
772   Fliege       n   fischen    0.08001318    -0.86126657
803    Karte       n     legen    0.07390091    -0.42309918
179    Vogel       0  schießen    0.06911248    -1.65796676
489 Motorrad       0    fahren    0.06713934    -0.06277583
146  Western       0    reiten    0.06654744    -0.99673820
291     Berg       0   steigen    0.06613183    -0.18281297
263 Computer       0   spielen    0.06434856     1.01667475
564    Segel       0   fliegen    0.06419635    -1.32154827
126     Kopf       0    nicken    0.06361848    -1.09331156


PREFERENCE AGAINST UNIVERBATION  IN:  NP with D 

         Noun Linking      Verb np.det.assocs FLogPerMillion
782      Kind      er     haben   -0.13075303     0.77014656
824   Gedanke       n    machen   -0.11982371     1.68170736
121      Zeit       0    nehmen   -0.10329843     0.66258981
579      Hand       0     geben   -0.10023011    -0.47705698
97     Fehler       0    machen   -0.09276584     0.54188791
600      Spaß       0     haben   -0.08976467     1.08749858
311      Geld       0  ausgeben   -0.08532230     0.31073867
383      Geld       0 verdienen   -0.08368952     1.88516031
599     Recht       0     haben   -0.07933781     0.99713868
577       Rat       0     geben   -0.07670327    -0.80520177
749      Kind      er  bekommen   -0.06364132     0.09863196
49       Zeit       0    lassen   -0.06221653     0.24061941
102      Foto       0    machen   -0.06168167    -1.22211770
827      Auge       n    öffnen   -0.05752171    -0.99615574
95      Angst       0    machen   -0.05171096    -0.09583028
326      Haus       0     bauen   -0.05082746    -1.25325438
630      Auto       0    kaufen   -0.04873308    -1.61380948
124 Rücksicht       0    nehmen   -0.04822035     0.10954832
816      Bild      er    machen   -0.04806280    -0.13303977
87       Geld       0    machen   -0.04586216     0.12218814


NO PREFERENCE FOR/AGAINST UNIVERBATION  IN:  NP with D 

          Noun Linking      Verb np.det.assocs FLogPerMillion
232       Maus       0  schubsen -8.986291e-15    -5.46575856
535   Anhänger       0    fahren  8.528366e-15    -3.47951079
466   Däumchen       0    drehen -5.738021e-15    -2.49404116
61        Seil       0    laufen -5.722207e-15    -4.56656226
821       Lied      er    machen -5.272775e-15    -3.69109352
39   Marmelade       0    kochen -3.390238e-15    -3.37159541
743       Haar       e    ziehen -2.489320e-15    -4.13612423
702      Pferd       e   stehlen -1.871702e-15    -2.61671897
159    Schritt       0    reiten  1.649018e-15    -2.82066621
28        Kopf       0  auflegen  9.521679e-16    -5.36890873
373     Punsch       0   trinken  9.521679e-16    -4.64545620
608 Willkommen       0    heißen  4.151952e-16     0.07177587
809    Gedanke       n     lesen -1.265957e-16    -0.69679906
784  Zigarette       n     holen -5.949653e-17    -2.95712435
109       Korn       0    mahlen  4.571969e-17    -3.76255249
299      Couch       0    surfen -2.901741e-17    -4.24999118
75       Haken       0     lösen -1.385110e-17    -4.62331508
58        Watt       0    laufen  8.348105e-18    -4.25502897
227       Luft       0 schnappen  4.459423e-18    -1.69046819
582   Pfötchen       0     geben  1.623679e-18    -3.26665251


=======================================================================


PREFERENCE FOR UNIVERBATION  IN:  NP with P-clitic 

          Noun Linking     Verb np.clt.assocs FLogPerMillion
485        Rad       0   fahren    0.11702447     1.83784511
486       Auto       0   fahren    0.10825639     1.67127733
487        Ski       0   fahren    0.09696935     0.95260638
645      Sonne       n    baden    0.07371384    -0.42946653
178      Bogen       0 schießen    0.06240805     0.01190985
652       Zahn      ~e   putzen    0.06223304     0.28815835
291       Berg       0  steigen    0.05623067    -0.18281297
490       Zeit       0   fahren    0.05333160    -0.57083218
772     Fliege       n  fischen    0.05035962    -0.86126657
295       Wind       0   surfen    0.04903750    -0.16828901
601      Kreuz       0    heben    0.04841602    -0.41449112
146    Western       0   reiten    0.04669475    -0.99673820
602    Gewicht       0    heben    0.04306563    -1.31859644
268        Ski       0 springen    0.04239277    -1.14578765
46      Wasser       0   lassen    0.04029332    -0.29961757
703     Treppe       n  steigen    0.03862704    -0.46866081
269 Fallschirm       0 springen    0.03688568    -1.06297429
50         Eis       0   laufen    0.03533139    -0.84194960
622      Probe       0    hören    0.03464638    -0.65192199
482         Ei       0  erlegen    0.03451464    -2.14023491


PREFERENCE AGAINST UNIVERBATION  IN:  NP with P-clitic 

         Noun Linking      Verb np.clt.assocs FLogPerMillion
296  Internet       0    surfen   -0.33901375     -0.6081823
66      Feuer       0     legen   -0.17753206     -1.7777269
529     Kreis       0    fahren   -0.10636524     -2.7070367
273    Wasser       0  springen   -0.10518398     -1.9942133
583     Essen       0     gehen   -0.10091828      0.3198382
99     Urlaub       0    machen   -0.08769301      0.4356236
623     Radio       0     hören   -0.08397064     -0.8231620
598      Teil       0     haben   -0.08342269      1.6844775
600      Spaß       0     haben   -0.08254289      1.0874986
191       Tor       0  schießen   -0.07990113     -1.8348853
297       Web       0    surfen   -0.07690625     -2.7794111
383      Geld       0 verdienen   -0.06985292      1.8851603
656      Haar       e    raufen   -0.06813647     -1.8747349
516   Gelände       0    fahren   -0.06084487     -2.4507223
121      Zeit       0    nehmen   -0.05619914      0.6625898
85      Party       0    machen   -0.05452482     -0.8239786
151   Gelände       0    reiten   -0.05388070     -2.2869988
584 Schwimmen       0     gehen   -0.05368439     -0.7577565
479      Zeit       0   erleben   -0.05268131     -2.6567644
86       Pipi       0    machen   -0.04804680     -1.9055796


NO PREFERENCE FOR/AGAINST UNIVERBATION  IN:  NP with P-clitic 

            Noun Linking        Verb np.clt.assocs FLogPerMillion
521 Schlittschuh       0      fahren -1.738404e-15     -2.9393522
837         Tour      en      fahren  1.631287e-15     -3.0991647
360          Tee       0     trinken  1.339225e-15     -0.1249663
435         Zahn       0      ziehen -4.972258e-17     -2.6889415
32        Kaffee       0      kochen  4.798086e-17     -1.1836927
737        Karte       n    zeichnen -4.214874e-17     -4.1271956
760         Kind      er    erziehen -4.214874e-17     -1.6371172
101         Käse       0      machen -7.757094e-18     -3.6163700
401         Ball       0 wegschlagen -3.303037e-18     -3.5174300
415        Anker       0      werfen -3.303037e-18     -3.2704190
438         Geld       0      ziehen -3.303037e-18     -3.5797167
