ID	Woche	Alter	Gender	DeutschL1	Legasthenie	Univerb8	Univerb8F	Parenth1	Parenth2	Univerb7	Univerb7F	Univerb6	Univerb6F	Parenth3	Univerb5	Univerb5F	Parenth4	Parenth5	Univerb4	Univerb4F	Univerb3	Univerb3F	Univerb2	Univerb2F	Parenth6	Univerb1	Univerb1F	Anmerkungen
1088	2	20	w	1	0	Bogenschießen	1	Null	Null	Mut gemacht	0	Seil zu springen	0	Null	Spaß haben	0	Null	Null	Tee trinken	0	Probe gehört	0	Platz zu machen	0	Null	Bergsteigen	1	
1142	2	19	w	1	0	Bogenschießen	1	Komma	Null	Mut gemacht	0	Seil zu springen	0	Null	Spaß haben	0	Null	Null	Teetrinken	1	Probegehört	1	Platz zu machen	0	Null	Bergsteigen	1	P1: Korrektur
1638	2	27	w	1	0	Bogenschießen	1	Null	Null	Mut gemacht	0	Seil zu springen	0	Null	Spaß haben	0	Null	Null	Tee trinken	0	Probegehört	1	Platz zu machen	0	Null	Bergsteigen	1	
2011	2	22	w	1	0	Bogenschießen	1	Besonders	Komma	Mut gemacht	0	Seil zu springen	0	Komma	Spaß haben	0	Komma	Null	Tee trinken	0	Probe gehört	0	Platz zu machen	0	Komma	Bergsteigen	1	P1: Kommas um Det Adv Adj ; U5: Korrektur
6357	2	22	w	1	0	Bogenschießen	1	Null	Null	Mut gemacht	0	Seil zu springen	0	Null	Spaßhaben	1	Null	Null	Teetrinken	1	Probe gehört	0	Platz zu machen	0	Null	Bergsteigen	1	U6: Korrektur
8292	2	27	w	1	0	Bogenschießen	1	Null	Null	Mut gemacht	0	Seil zu springen	0	Null	Spaß haben	0	Null	Null	Teetrinken	1	Probe gehört	0	Platz zu machen	0	Null	Bergsteigen	1	P2: Komma zwischen Adv und Adj
8481	2	22	w	1	0	Bogenschießen	1	Null	Null	Mut gemacht	0	Seil zu springen	0	Null	Spaß haben	0	Null	Null	Teetrinken	1	Probe gehört	0	Platz zu machen	0	Null	Bergsteigen	1	
8791	2	19	w	1	0	Bogenschießen	1	Null	Strich	Mut gemacht	0	Seil zu springen	0	Strich	Spaß haben	0	Null	Strich	Teetrinken	1	probegehört	1	Platz zu machen	0	Null	Bergsteigen	1	
9066	2	18	w	1	0	Bogenschießen	1	Null	Null	Mut gemacht	0	Seil zu springen	0	Null	Spaß haben	0	Null	Null	Teetrinken	1	probegehört	1	Platz zu machen	0	Null	Bergsteigen	1	
0110	2	23	m	1	0	Bogenschießen	1	Besonders	Null	Mut gemacht	0	Seil zu springen	0	Null	Spaß haben	0	Null	Null	Tee trinken	0	Probe gehört	0	Platz zu machen	0	Komma	Bergsteigen	1	P1: Kommas um Det Adv Adj ; U5: Korrektur
